==================================================
Using device: cuda

==================================================
==================================================
GPU: NVIDIA A100-SXM4-40GB

==================================================
==================================================
Model has 4483 paramters

==================================================
Training samples: 102
Test samples:     26
Epoch 133/10000 | Train Loss: 5646.991  | Test Loss: 8.200 | LR: 1.00e-03 | Time: 0.5s
Epoch 134/10000 | Train Loss: 5824.849  | Test Loss: 8.001 | LR: 1.00e-03 | Time: 0.5s
Epoch 135/10000 | Train Loss: 5761.149  | Test Loss: 7.851 | LR: 1.00e-03 | Time: 0.5s
Epoch 136/10000 | Train Loss: 6244.088  | Test Loss: 8.078 | LR: 1.00e-03 | Time: 0.5s
Epoch 137/10000 | Train Loss: 5888.685  | Test Loss: 7.972 | LR: 1.00e-03 | Time: 0.5s
Epoch 138/10000 | Train Loss: 5725.296  | Test Loss: 7.983 | LR: 1.00e-03 | Time: 0.5s
Epoch 139/10000 | Train Loss: 5675.761  | Test Loss: 7.977 | LR: 1.00e-03 | Time: 0.5s
Epoch 140/10000 | Train Loss: 5630.689  | Test Loss: 7.911 | LR: 1.00e-03 | Time: 0.5s
Epoch 141/10000 | Train Loss: 5649.543  | Test Loss: 7.940 | LR: 1.00e-03 | Time: 0.5s
Epoch 142/10000 | Train Loss: 5622.121  | Test Loss: 7.994 | LR: 1.00e-03 | Time: 0.5s
Epoch 143/10000 | Train Loss: 5676.064  | Test Loss: 8.005 | LR: 1.00e-03 | Time: 0.5s
Epoch 144/10000 | Train Loss: 5638.534  | Test Loss: 8.066 | LR: 1.00e-03 | Time: 0.5s
Epoch 145/10000 | Train Loss: 5639.762  | Test Loss: 7.904 | LR: 1.00e-03 | Time: 0.5s
Epoch 146/10000 | Train Loss: 5706.127  | Test Loss: 7.917 | LR: 1.00e-03 | Time: 0.5s
Epoch 147/10000 | Train Loss: 5635.926  | Test Loss: 8.001 | LR: 1.00e-03 | Time: 0.5s
Epoch 148/10000 | Train Loss: 5954.801  | Test Loss: 8.035 | LR: 1.00e-03 | Time: 0.5s
Epoch 149/10000 | Train Loss: 6284.281  | Test Loss: 8.066 | LR: 1.00e-03 | Time: 0.5s
Epoch 150/10000 | Train Loss: 5748.601  | Test Loss: 8.006 | LR: 1.00e-03 | Time: 0.5s
Epoch 151/10000 | Train Loss: 5585.281  | Test Loss: 7.948 | LR: 1.00e-03 | Time: 0.5s
Epoch 152/10000 | Train Loss: 5607.173  | Test Loss: 7.882 | LR: 1.00e-03 | Time: 0.5s
Epoch 153/10000 | Train Loss: 5557.933  | Test Loss: 7.880 | LR: 1.00e-03 | Time: 0.5s
Epoch 154/10000 | Train Loss: 5659.986  | Test Loss: 7.816 | LR: 1.00e-03 | Time: 0.5s
Epoch 155/10000 | Train Loss: 5568.023  | Test Loss: 7.859 | LR: 1.00e-03 | Time: 0.5s
Epoch 156/10000 | Train Loss: 5593.099  | Test Loss: 7.866 | LR: 1.00e-03 | Time: 0.5s
Epoch 157/10000 | Train Loss: 5581.933  | Test Loss: 7.770 | LR: 1.00e-03 | Time: 0.5s
Epoch 158/10000 | Train Loss: 5702.658  | Test Loss: 7.899 | LR: 1.00e-03 | Time: 0.5s
Epoch 159/10000 | Train Loss: 5624.632  | Test Loss: 7.901 | LR: 1.00e-03 | Time: 0.5s
Epoch 160/10000 | Train Loss: 5576.497  | Test Loss: 7.804 | LR: 1.00e-03 | Time: 0.5s
Epoch 161/10000 | Train Loss: 5543.108  | Test Loss: 7.727 | LR: 1.00e-03 | Time: 0.5s
